variable,n_obs,mean,std
sample_n,73442,73442.0,
popularity,73442,32.462936739195555,19.016633579278786
duration_ms,73442,230073.97442880095,118679.49660610854
explicit,73442,0.08590452329729582,0.2802249193043474
key,73442,5.267108738868767,3.5587055787224924
mode,73442,0.6348683314724545,0.48147034133393035
time_signature,73442,3.8913019797935786,0.4719391834115126
danceability,73442,0.5589544538547426,0.1800403018833787
energy,73442,0.6296283135807849,0.26095290696045353
loudness,73442,-8.70396516979385,5.393168210598955
speechiness,73442,0.09025637237547997,0.12028091809570263
acousticness,73442,0.3389983097682525,0.34317357271012
instrumentalness,73442,0.18906334178303966,0.33544441046394974
liveness,73442,0.21982594033386887,0.19836104947291952
valence,73442,0.46755293198714637,0.2660808862342545
tempo,73442,121.88379830342309,30.262311944375476
