model_type,term_group,term,coefficient,std_error,p_value,fit_metric_name,fit_metric_value,n_obs
Logit,control,Key = 1,0.08769042541312061,0.2539958243158775,0.7299112651894691,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 2,-0.014997656667526033,0.2799820323879269,0.9572805497789666,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 3,0.6092961405495032,0.378266920956049,0.10723266798478455,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 4,0.12377465904422283,0.28558715623719594,0.6647211852668871,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 5,0.3213304346508583,0.27905776711893576,0.24953334963301155,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 6,-0.6963120425460838,0.2692273648408422,0.009700272041049195,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 7,0.09217718680129543,0.2646608902538766,0.7276268142148735,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 8,0.17702232797328743,0.3028940073313382,0.5589266437483684,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 9,-0.048889654877420544,0.2792940556056446,0.8610425107908185,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 10,-0.02317095917673047,0.2800149386259719,0.9340511134998696,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Key = 11,-0.20435333880820986,0.2560202050724859,0.42475894483646137,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Mode = 1,-0.2112665771186601,0.12612967741231942,0.09393521563556587,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Time signature = 1,-28.060174277403444,218.36631053769685,0.8977529236163815,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Time signature = 3,-25.047283651150618,292.7750055678258,0.9318231098438945,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Time signature = 4,-25.04250808425683,297.0424574679806,0.9328130171758514,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Time signature = 5,-24.5347021968372,268.0640319390574,0.9270750225480712,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,duration_ms,1.1939367234926333e-06,9.384978843322622e-07,0.20330974541590174,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,control,Explicit,-0.9965384926613816,0.19471383642054746,3.0885079792121164e-07,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,focal_main_effect,Dance orientation (z),0.26820790276961853,0.1426211813643895,0.06003159306753615,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Dance orientation (z) x Genre: rock-n-roll,0.48725995614107476,0.5217101643672637,0.3503210353784568,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Dance orientation (z) x Genre: hip-hop,-0.6177061699232527,0.1960792305258356,0.001631092361664882,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Dance orientation (z) x Genre: jazz,0.5317496739004293,0.2648161721977045,0.04464377315262893,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Dance orientation (z) x Genre: electronic,-0.11306960315344626,0.20787398777157504,0.5864873098827528,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,focal_main_effect,Sonic intensity (z),-0.08004382481905344,0.16018052346524841,0.6172792222695931,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Sonic intensity (z) x Genre: rock-n-roll,0.8404652793608028,0.6446571951075072,0.19232229495672093,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Sonic intensity (z) x Genre: hip-hop,0.515521979318085,0.22271361585664964,0.02062769044753776,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Sonic intensity (z) x Genre: jazz,-0.680440687530449,0.31021924549365093,0.028277227772727974,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Sonic intensity (z) x Genre: electronic,0.3923107745840618,0.21955399331080455,0.07396120420872931,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,focal_main_effect,Positive affect (z),-0.20416866102837705,0.15291471594023784,0.18181746116192388,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Positive affect (z) x Genre: rock-n-roll,-0.35353853604437385,0.5464439529012027,0.5176446182826845,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Positive affect (z) x Genre: hip-hop,0.3075261963880203,0.19745757025088226,0.11936860502663367,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Positive affect (z) x Genre: jazz,-0.4390314709607459,0.31100562709315976,0.15805268481753143,mcfadden_pseudo_r2,0.365574370811385,2760.0
Logit,feature_genre_interaction,Positive affect (z) x Genre: electronic,-0.014067370827100578,0.19209100039872748,0.9416208284904474,mcfadden_pseudo_r2,0.365574370811385,2760.0
