Date,FFR,GPR_ME,GSCPI,Oil,USDLAK,CPI_Inf,CPI,oil_shock,fx_dep,inflation_mom,post_2022,regime,event_tag,GPR_ME_alt
2006-01-31,4.47,0.1692828528583049,-0.3634341516029625,63.19,10150.0,8.11,64.0,,,,0,pre_2022,,0.19852261804044247
2006-02-28,4.52,0.1445537619292736,-0.7254590973076878,59.78,10155.0,8.55,64.3,-5.547490392957233,0.049248954455194394,0.4676547883902593,0,pre_2022,,0.16795618832111353
2006-03-31,5.0,0.1383070290088653,-0.3793875976245883,66.06,10260.0,8.19,64.6,9.98922631068515,1.0286644710275183,0.4654779544981835,0,pre_2022,,0.16355810500681395
2006-04-30,4.86,0.1535520683974027,0.1064278920643181,72.15,9855.0,8.32,65.7,8.818386525723643,-4.027389913794011,1.6884514702009135,0,pre_2022,,0.18488922528922552
2006-05-31,5.05,0.1149184502661228,0.1075900379675433,67.57,10015.0,7.99,66.1,-6.558318765579685,1.610502851309903,0.606982136707579,0,pre_2022,,0.13317372463643548
2006-06-30,5.05,0.1783069901168346,0.1641677552374358,73.2,10152.5,8.08,66.6,8.00313234031833,1.3636011460533837,0.7535830688702561,0,pre_2022,,0.20777297578752035
2006-07-31,5.31,0.519629018753767,-0.0915138557232836,74.75,10092.5,7.74,67.0,2.095379130352981,-0.592740683335613,0.5988041844622316,0,pre_2022,,0.6392135694622993
2006-08-31,5.31,0.4589021243155002,0.0687842530424044,67.66,10068.0,6.92,67.8,-9.965404891823404,-0.24304964718897537,1.1869575555383705,0,pre_2022,,0.566366545855999
2006-09-30,5.34,0.2221884928643703,-0.6364694442739647,59.09,10038.0,5.49,67.9,-13.543345799497875,-0.29841860403276854,0.14738396183009428,0,pre_2022,,0.2648353278636932
2006-10-31,5.31,0.1589522249996662,-0.5160332947019136,56.13,9910.0,3.7,67.3,-5.139127640347496,-1.2833542890845706,-0.887579791396842,0,pre_2022,,0.1808304814621806
2006-11-30,5.31,0.1651738293468952,-0.2305653096905687,64.36,9843.5,4.4,67.1,13.68218931700742,-0.6733009463891548,-0.297619267304583,0,pre_2022,,0.19508122280240053
2006-12-31,5.17,0.2152005687355995,-0.4597365133438014,58.96,9697.5,4.73,67.1,-8.763307424310174,-1.494321854601921,0.0,0,pre_2022,,0.2576230373233557
2007-01-31,5.33,0.164916618168354,-0.8731988758697284,56.52,9649.5,5.5,67.4,-4.2264690064754085,-0.4962019794957584,0.4460973940624946,0,pre_2022,,0.18993206135928628
2007-02-28,5.41,0.1636963687837123,-0.7128771859107026,59.39,9667.5,4.92,67.5,4.953130421144181,0.1863643962286332,0.14825799602231626,0,pre_2022,,0.19884488359093666
2007-03-31,5.3,0.1624934956431389,-0.5887360857286694,68.47,9640.0,4.64,67.7,14.226983110520308,-0.28486358768606834,0.29585820397448614,0,pre_2022,,0.180708959698677
2007-04-30,5.29,0.1288378953933716,-0.8258029318205403,67.23,9616.0,3.56,68.2,-1.8276116652025998,-0.24927308296014417,0.7358384931187345,0,pre_2022,,0.15063137002289292
2007-05-31,5.28,0.167423751950264,-0.4146469106804458,68.18,9581.0,3.43,68.5,1.4031690228811122,-0.36464071241155693,0.4389180418763239,0,pre_2022,,0.19548994302749628
2007-06-30,5.31,0.1921004250645637,-0.3734096088671595,72.22,9613.0,3.49,69.0,5.7565749139555145,0.33343784149426625,0.7272759329080003,0,pre_2022,,0.22269067354500288
2007-07-31,5.28,0.1624963581562042,-0.4345946800960715,77.01,9535.0,3.53,69.5,6.42182677018468,-0.8147110031297089,0.7220247973486416,0,pre_2022,,0.19502799957990646
