horizon,coefficient,lower_90,upper_90,stderr,nobs,regime,impulse,response
0,-0.0027226673897475795,-0.0770745155896157,0.07162918081012054,0.045198691914813446,189,pre_2022,fx_dep,CPI_Inf
1,0.04098006927191975,-0.11937281293041382,0.2013329514742533,0.09747895574609944,188,pre_2022,fx_dep,CPI_Inf
2,-0.11255394997710445,-0.3651346111988794,0.14002671124467053,0.15354447490685408,187,pre_2022,fx_dep,CPI_Inf
3,-0.29963973966684554,-0.6349888461008457,0.03570936676715458,0.20385963916960492,186,pre_2022,fx_dep,CPI_Inf
4,-0.5753729214622627,-0.8795220698714123,-0.2712237730531131,0.18489309933686904,185,pre_2022,fx_dep,CPI_Inf
5,-0.5669003968155224,-0.883317592600624,-0.25048320103042077,0.1923508788967183,184,pre_2022,fx_dep,CPI_Inf
6,-0.5350150150907002,-0.8909584564712281,-0.1790715737101723,0.21637899172068564,183,pre_2022,fx_dep,CPI_Inf
7,-0.4428263207616492,-0.767681914668777,-0.11797072685452137,0.19748060419886188,182,pre_2022,fx_dep,CPI_Inf
8,-0.28439505159042056,-0.5951643539003615,0.02637425071952032,0.18891750900300355,181,pre_2022,fx_dep,CPI_Inf
9,-0.16029269511077937,-0.5324109734322331,0.21182558321067435,0.22621171934434878,180,pre_2022,fx_dep,CPI_Inf
10,-0.0911866627930108,-0.525873035905221,0.3434997103191995,0.2642470353265716,179,pre_2022,fx_dep,CPI_Inf
11,-0.028711460801226878,-0.5649582257885211,0.5075353041860673,0.3259858753722153,178,pre_2022,fx_dep,CPI_Inf
12,0.027217569816435933,-0.5952387150726439,0.6496738547055159,0.37839287835202423,177,pre_2022,fx_dep,CPI_Inf
0,0.25399024774693557,-0.09663145913634091,0.604611954630212,0.2131438947618702,48,post_2022,fx_dep,CPI_Inf
1,0.5427330917462116,0.21338482814129067,0.8720813553511326,0.20021171039812827,47,post_2022,fx_dep,CPI_Inf
2,0.6535649699503664,0.2876286789472635,1.0195012609534693,0.22245367234231178,46,post_2022,fx_dep,CPI_Inf
3,0.6404481721934574,0.29693767645064156,0.9839586679362733,0.208820970056423,45,post_2022,fx_dep,CPI_Inf
4,0.8471008571261766,0.4560747795487059,1.2381269347036472,0.23770582223554448,44,post_2022,fx_dep,CPI_Inf
5,1.1276265204526925,0.6453117874631124,1.6099412534422726,0.29320044558637093,43,post_2022,fx_dep,CPI_Inf
6,1.1089665162687679,0.5824441547417388,1.635488877795797,0.32007438390700854,42,post_2022,fx_dep,CPI_Inf
7,1.2856378125301902,0.6989062659383318,1.8723693591220485,0.35667571221389566,41,post_2022,fx_dep,CPI_Inf
8,1.3254498400634867,0.7780644139431098,1.8728352661838636,0.3327570979455179,40,post_2022,fx_dep,CPI_Inf
9,1.087009717545057,0.624136808605623,1.5498826264844912,0.28138170756196595,39,post_2022,fx_dep,CPI_Inf
10,0.9248201036664834,0.4396332936699907,1.410006913662976,0.29494638905561865,38,post_2022,fx_dep,CPI_Inf
11,1.1083360403322566,0.759058928889211,1.4576131517753024,0.21232651151552925,37,post_2022,fx_dep,CPI_Inf
12,0.595763207726091,0.14790841272065974,1.0436180027315223,0.27225215501849925,36,post_2022,fx_dep,CPI_Inf
