horizon,coefficient,lower_90,upper_90,stderr,nobs,regime,impulse,response
0,-0.006877544143249829,-0.012721249103384923,-0.0010338391831147343,0.003552404231085164,189,pre_2022,oil_shock,fx_dep
1,-0.0034343558552091835,-0.008287955411621445,0.0014192437012030784,0.0029505164476670283,188,pre_2022,oil_shock,fx_dep
2,-0.014708645544794209,-0.021438444157984973,-0.007978846931603445,0.004091062986742106,187,pre_2022,oil_shock,fx_dep
3,-0.00275012581874315,-0.010090971894576278,0.004590720257089979,0.004462520410840808,186,pre_2022,oil_shock,fx_dep
4,-0.0055682979141640655,-0.01093647201775647,-0.0002001238105716601,0.0032633277225485747,185,pre_2022,oil_shock,fx_dep
5,-0.005986962502010557,-0.011781505842601563,-0.00019241916141955143,0.0035225187480796383,184,pre_2022,oil_shock,fx_dep
6,-0.008683958258258791,-0.014622264595809646,-0.002745651920707937,0.0036099126672041668,183,pre_2022,oil_shock,fx_dep
7,-0.00669814750980459,-0.011821019837586249,-0.0015752751820229316,0.003114208101994929,182,pre_2022,oil_shock,fx_dep
8,0.002320368892607836,-0.003524634454417712,0.008165372239633383,0.0035531935240276885,181,pre_2022,oil_shock,fx_dep
9,0.0005138744108284787,-0.0044408812280020945,0.005468630049659052,0.0030120095068878867,180,pre_2022,oil_shock,fx_dep
10,0.006693405891794876,-4.629854736292512e-05,0.013433110330952677,0.004097084765445472,179,pre_2022,oil_shock,fx_dep
11,0.0036202692318510407,-0.0021359438713878538,0.009376482335089935,0.0034992176919385375,178,pre_2022,oil_shock,fx_dep
12,-0.003990899140445227,-0.009697230797814694,0.0017154325169242398,0.003468894624540709,177,pre_2022,oil_shock,fx_dep
0,0.04275535558188456,0.011712211167952038,0.07379849999581709,0.018871212409685426,48,post_2022,oil_shock,fx_dep
1,0.06487134785378225,0.015198806105690278,0.11454388960187423,0.030196074010998157,47,post_2022,oil_shock,fx_dep
2,0.06584288284184506,0.004037138359253269,0.12764862732443685,0.037571881144432696,46,post_2022,oil_shock,fx_dep
3,0.03834828679484123,-0.009375417919366004,0.08607199150904846,0.02901137064693449,45,post_2022,oil_shock,fx_dep
4,0.02175723090347271,-0.02192785272146522,0.06544231452841064,0.026556281838868042,44,post_2022,oil_shock,fx_dep
5,0.020786346445043315,-0.010287984940862197,0.05186067783094883,0.01889017105526171,43,post_2022,oil_shock,fx_dep
6,0.040990758352515935,0.0026299486408080663,0.0793515680642238,0.023319641162132445,42,post_2022,oil_shock,fx_dep
7,0.026860745424523266,-0.007892519464656581,0.061614010313703116,0.02112660479585401,41,post_2022,oil_shock,fx_dep
8,0.002492530150538864,-0.024577014592948962,0.029562074894026687,0.0164556502999926,40,post_2022,oil_shock,fx_dep
9,-0.0029625919332882445,-0.01833520008910453,0.01241001622252804,0.009345050550648198,39,post_2022,oil_shock,fx_dep
10,-0.014520665809570876,-0.03965122095540814,0.010609889336266392,0.015276933219353963,38,post_2022,oil_shock,fx_dep
11,0.005029609755017576,-0.023876863401261994,0.03393608291129715,0.017572324107160833,37,post_2022,oil_shock,fx_dep
12,-0.015544717003406322,-0.03080414074442571,-0.0002852932623869323,0.009276245435270145,36,post_2022,oil_shock,fx_dep
