horizon,coefficient,lower_90,upper_90,stderr,nobs,regime,impulse,response
0,0.007589348864498924,0.0015224182084838736,0.013656279520513974,0.003688103742258389,189,pre_2022,oil_shock,inflation_mom
1,0.009392367083587826,0.004474119872716826,0.014310614294458826,0.0029898159336601824,188,pre_2022,oil_shock,inflation_mom
2,0.006558494312296615,0.0008204491776539905,0.012296539446939241,0.0034881733341292553,187,pre_2022,oil_shock,inflation_mom
3,0.008215286757407514,0.0024940980277468484,0.01393647548706818,0.003477926279428976,186,pre_2022,oil_shock,inflation_mom
4,0.0013814213382468557,-0.003068047562213884,0.005830890238707595,0.0027048443163895076,185,pre_2022,oil_shock,inflation_mom
5,0.0024239073619504144,-0.003868389785832086,0.008716204509732914,0.003825104649107903,184,pre_2022,oil_shock,inflation_mom
6,-0.0013734177330113491,-0.005702658525017952,0.0029558230589952533,0.002631757320368755,183,pre_2022,oil_shock,inflation_mom
7,-0.0022707488861138814,-0.006535373568938558,0.0019938757967107954,0.0025924770108356698,182,pre_2022,oil_shock,inflation_mom
8,0.0019394255423026854,-0.0020833391716300114,0.005962190256235382,0.0024454496741232196,181,pre_2022,oil_shock,inflation_mom
9,-0.00265764333269053,-0.006310445871155884,0.000995159205774824,0.002220548655602039,180,pre_2022,oil_shock,inflation_mom
10,-0.003149332234123658,-0.007072928121642851,0.000774263653395535,0.002385164673263947,179,pre_2022,oil_shock,inflation_mom
11,-0.0019813358072255107,-0.006798658182683187,0.0028359865682321653,0.0029284634501262467,178,pre_2022,oil_shock,inflation_mom
12,-0.00247084563161928,-0.008341683542137332,0.003399992278898772,0.00356889842584684,177,pre_2022,oil_shock,inflation_mom
0,-0.019033004770773482,-0.040944155985002256,0.002878146443455288,0.0133198487624491,48,post_2022,oil_shock,inflation_mom
1,0.019853515589936775,-0.00817986310377716,0.04788689428365071,0.017041567594962878,47,post_2022,oil_shock,inflation_mom
2,0.039692221981051434,0.000294843247063796,0.07908960071503907,0.023949774306375463,46,post_2022,oil_shock,inflation_mom
3,0.07833185957735417,0.02672215434796342,0.1299415648067449,0.03137368099051109,45,post_2022,oil_shock,inflation_mom
4,0.008865541039845123,-0.023554768514338395,0.041285850594028645,0.019708394865765057,44,post_2022,oil_shock,inflation_mom
5,0.008383605158573166,-0.017871297793307366,0.0346385081104537,0.015960427326371145,43,post_2022,oil_shock,inflation_mom
6,0.018350236491664864,-0.019868039439449373,0.056568512422779105,0.023232994486999538,42,post_2022,oil_shock,inflation_mom
7,0.032221831163651786,0.008576653247547309,0.055867009079756266,0.014373968338057432,41,post_2022,oil_shock,inflation_mom
8,0.013057358620115112,-0.006570142730264265,0.03268485997049449,0.011931611763148558,40,post_2022,oil_shock,inflation_mom
9,-0.0022504756494928905,-0.02728464623909982,0.022783694940114035,0.01521834078395558,39,post_2022,oil_shock,inflation_mom
10,0.002976697594149545,-0.01744374657692253,0.023397141765221622,0.012413643872992142,38,post_2022,oil_shock,inflation_mom
11,0.009917461640984398,-0.01727614782369826,0.03711107110566706,0.016531069583393714,37,post_2022,oil_shock,inflation_mom
12,-0.0033172724060648298,-0.0205300784957717,0.01389553368364204,0.010463711908636396,36,post_2022,oil_shock,inflation_mom
