Date,FFR,GPR_ME,GSCPI,Oil,USDLAK,CPI_Inf,CPI
2006-01-31,4.47,0.1692828528583049,-0.3634341516029625,63.19,10150.0,8.11,64.0
2006-02-28,4.52,0.1445537619292736,-0.7254590973076878,59.78,10155.0,8.55,64.3
2006-03-31,5.0,0.1383070290088653,-0.3793875976245883,66.06,10260.0,8.19,64.6
2006-04-30,4.86,0.1535520683974027,0.1064278920643181,72.15,9855.0,8.32,65.7
2006-05-31,5.05,0.1149184502661228,0.1075900379675433,67.57,10015.0,7.99,66.1
2006-06-30,5.05,0.1783069901168346,0.1641677552374358,73.2,10152.5,8.08,66.6
2006-07-31,5.31,0.519629018753767,-0.0915138557232836,74.75,10092.5,7.74,67.0
2006-08-31,5.31,0.4589021243155002,0.0687842530424044,67.66,10068.0,6.92,67.8
2006-09-30,5.34,0.2221884928643703,-0.6364694442739647,59.09,10038.0,5.49,67.9
2006-10-31,5.31,0.1589522249996662,-0.5160332947019136,56.13,9910.0,3.7,67.3
2006-11-30,5.31,0.1651738293468952,-0.2305653096905687,64.36,9843.5,4.4,67.1
2006-12-31,5.17,0.2152005687355995,-0.4597365133438014,58.96,9697.5,4.73,67.1
2007-01-31,5.33,0.164916618168354,-0.8731988758697284,56.52,9649.5,5.5,67.4
2007-02-28,5.41,0.1636963687837123,-0.7128771859107026,59.39,9667.5,4.92,67.5
2007-03-31,5.3,0.1624934956431389,-0.5887360857286694,68.47,9640.0,4.64,67.7
2007-04-30,5.29,0.1288378953933716,-0.8258029318205403,67.23,9616.0,3.56,68.2
2007-05-31,5.28,0.167423751950264,-0.4146469106804458,68.18,9581.0,3.43,68.5
2007-06-30,5.31,0.1921004250645637,-0.3734096088671595,72.22,9613.0,3.49,69.0
2007-07-31,5.28,0.1624963581562042,-0.4345946800960715,77.01,9535.0,3.53,69.5
2007-08-31,4.96,0.1053734071552753,-0.0988240504496813,72.29,9629.0,3.58,70.4
2007-09-30,4.58,0.161411415785551,-0.0338738810037212,80.97,9630.0,4.25,70.9
2007-10-31,4.6,0.2339883893728256,-0.6067162041670332,89.87,9622.0,5.59,71.2
2007-11-30,4.66,0.1575841095298528,-0.4814833583714222,88.71,9455.0,6.13,71.3
2007-12-31,3.06,0.1775819037109613,-0.1441386475686567,93.68,9354.0,5.57,71.0
2008-01-31,3.22,0.1793666139245033,-0.3696811732039629,91.58,9325.0,6.09,71.6
2008-02-29,3.01,0.1557483866810798,0.4654366205490935,100.9,8956.0,6.43,72.0
2008-03-31,2.51,0.1740261353552341,0.156881365427289,102.33,8750.0,7.73,73.1
2008-04-30,2.37,0.1298454523086548,0.1322736030069244,111.12,8734.0,8.68,74.3
2008-05-31,1.98,0.1996641717851162,-0.1173209284567859,127.85,8700.0,10.32,75.6
2008-06-30,2.47,0.1996346548199653,0.2753533813804681,138.4,8695.0,10.2,75.9
2008-07-31,2.09,0.2074044734239578,1.007830000143561,124.1,8555.0,9.96,76.3
2008-08-31,1.94,0.1021055079996585,0.2777932476898039,113.49,8651.0,9.57,76.8
2008-09-30,2.03,0.0969862647354602,-0.5388971933177563,93.52,8549.5,8.49,76.9
2008-10-31,0.22,0.0999687582254409,-0.9850980844513064,60.0,8575.0,6.53,75.8
2008-11-30,0.52,0.1439383700489998,-1.5309444213310224,47.72,8542.5,4.55,74.6
2008-12-31,0.14,0.2043327495455741,-0.6973804864338433,35.82,8473.0,3.17,73.2
2009-01-31,0.23,0.4602785278111696,-0.4049168563215065,44.17,8505.0,2.43,73.4
2009-02-28,0.22,0.1549338169395923,-0.4433675417435937,44.41,8555.0,1.64,73.2
