term_group,term,coefficient,std_error,p_value_raw,p_value,p_value_display,n_obs,adj_r2
control,Key = 1,-0.8757611187540764,1.6720572438113463,0.6004436403818916,0.600,0.600,2760.0,0.3216933031218565
control,Key = 2,-0.3889964632644709,1.6718874773214911,0.8160184078210548,0.816,0.816,2760.0,0.3216933031218565
control,Key = 3,1.4627590531175483,2.3686186331658687,0.5368668301315203,0.537,0.537,2760.0,0.3216933031218565
control,Key = 4,1.1070174022936614,1.7938137967955112,0.5371485801856883,0.537,0.537,2760.0,0.3216933031218565
control,Key = 5,0.005620220908542528,1.7283570851448373,0.9974054669449018,0.997,0.997,2760.0,0.3216933031218565
control,Key = 6,-7.900389250222656,2.146017607641886,0.00023193979320584364,< 0.001,< 0.001,2760.0,0.3216933031218565
control,Key = 7,1.470784750414285,1.6187698479541188,0.3635709405547364,0.364,0.364,2760.0,0.3216933031218565
control,Key = 8,0.7343674919299517,2.3315770858018907,0.7527874743935645,0.753,0.753,2760.0,0.3216933031218565
control,Key = 9,-1.6676979740847093,1.6087198930174664,0.2998936415953495,0.300,0.300,2760.0,0.3216933031218565
control,Key = 10,0.22099593637031,2.154041716553896,0.9182836646352955,0.918,0.918,2760.0,0.3216933031218565
control,Key = 11,-3.967263313677167,2.052665472768709,0.05326855634774662,0.053,0.053,2760.0,0.3216933031218565
control,Mode = 1,-1.1975932455625133,0.963863357763312,0.21405480936468724,0.214,0.214,2760.0,0.3216933031218565
control,Time signature = 1,-77.33432883485888,4.035685181280784,7.59421933473546e-82,< 0.001,< 0.001,2760.0,0.3216933031218565
control,Time signature = 3,-50.16048562829486,2.9951775088567394,5.947200658268276e-63,< 0.001,< 0.001,2760.0,0.3216933031218565
control,Time signature = 4,-51.45888490180951,2.870413334827725,7.214579972562255e-72,< 0.001,< 0.001,2760.0,0.3216933031218565
control,Time signature = 5,-49.14718279376384,3.99250660294368,8.016573532843794e-35,< 0.001,< 0.001,2760.0,0.3216933031218565
control,duration_ms,3.0138719564217173e-05,6.528928908294576e-06,3.908655071301876e-06,< 0.001,< 0.001,2760.0,0.3216933031218565
control,Explicit,-12.238555012899482,1.8851970507285307,8.474729909318875e-11,< 0.001,< 0.001,2760.0,0.3216933031218565
raw_feature,Dance orientation (z),0.842757370723283,0.5407826124754207,0.11913769112450377,0.119,0.119,2760.0,0.3216933031218565
raw_feature,Sonic intensity (z),1.8461578461190946,0.5560389605837851,0.0008995455138694457,0.001,0.001,2760.0,0.3216933031218565
raw_feature,Positive affect (z),-0.7882363079378324,0.5413550570596386,0.14538069903429082,0.145,0.145,2760.0,0.3216933031218565
absolute_deviation,Absolute deviation in dance orientation (z),1.367227287952477,0.41787844325133916,0.0010685375047091872,0.001,0.001,2760.0,0.3216933031218565
absolute_deviation,Absolute deviation in sonic intensity (z),-0.3580859784056169,0.41943070118395265,0.39324746484758555,0.393,0.393,2760.0,0.3216933031218565
absolute_deviation,Absolute deviation in positive affect (z),-1.9995384826279725,0.42176525664775477,2.1279191244065812e-06,< 0.001,< 0.001,2760.0,0.3216933031218565
