term_group,term,coefficient,std_error,p_value_raw,p_value,p_value_display,n_obs,adj_r2
control,Key = 1,-0.9086687356752394,1.6841165523817516,0.5895059113814679,0.590,0.590,2760.0,0.3140040759103192
control,Key = 2,-0.7427031797438319,1.6841969721642522,0.6592248974041139,0.659,0.659,2760.0,0.3140040759103192
control,Key = 3,1.6942333844530464,2.3647241536100236,0.47370654421722913,0.474,0.474,2760.0,0.3140040759103192
control,Key = 4,1.1268215220822677,1.775578584512995,0.5256748698139758,0.526,0.526,2760.0,0.3140040759103192
control,Key = 5,0.18380895324389812,1.7267189684311253,0.9152254532247589,0.915,0.915,2760.0,0.3140040759103192
control,Key = 6,-7.944843157909363,2.190451465488721,0.0002866949380593395,< 0.001,< 0.001,2760.0,0.3140040759103192
control,Key = 7,1.2551812690070545,1.634178557974292,0.44243914841648746,0.442,0.442,2760.0,0.3140040759103192
control,Key = 8,0.7833040558543072,2.3120268265738866,0.7347638660721156,0.735,0.735,2760.0,0.3140040759103192
control,Key = 9,-2.0520434241959444,1.607814371140637,0.2018517006601389,0.202,0.202,2760.0,0.3140040759103192
control,Key = 10,0.23148004230357522,2.1669996338055215,0.9149313626739369,0.915,0.915,2760.0,0.3140040759103192
control,Key = 11,-3.714407488266585,2.049576897269622,0.06994292298506738,0.070,0.070,2760.0,0.3140040759103192
control,Mode = 1,-1.1888422598405461,0.9668493123167651,0.21884524618749168,0.219,0.219,2760.0,0.3140040759103192
control,Time signature = 1,-78.8456398850749,3.4667070000947,1.6577091678333247e-114,< 0.001,< 0.001,2760.0,0.3140040759103192
control,Time signature = 3,-51.87643286479292,2.3820246508767617,3.7269498969794356e-105,< 0.001,< 0.001,2760.0,0.3140040759103192
control,Time signature = 4,-52.871486433877564,2.102788084892616,1.6638856410138193e-139,< 0.001,< 0.001,2760.0,0.3140040759103192
control,Time signature = 5,-50.771210949019434,3.791549023689523,6.860107452091764e-41,< 0.001,< 0.001,2760.0,0.3140040759103192
control,duration_ms,3.065647510206046e-05,6.575894557904095e-06,3.132311258326715e-06,< 0.001,< 0.001,2760.0,0.3140040759103192
control,Explicit,-12.287383816867546,1.8920473421791906,8.34611521857362e-11,< 0.001,< 0.001,2760.0,0.3140040759103192
signed_deviation,Dance orientation deviation (z),0.64648497247052,0.45984249637662716,0.159758725398208,0.160,0.160,2760.0,0.3140040759103192
signed_deviation,Sonic intensity deviation (z),1.456722942940555,0.4346925150128297,0.0008047461103928392,0.001,0.001,2760.0,0.3140040759103192
signed_deviation,Positive affect deviation (z),-0.951209039282766,0.5005309911227466,0.057380661659619046,0.057,0.057,2760.0,0.3140040759103192
